Designator,Mid X,Mid Y,Rotation,Layer
C1,17.425,-26.7,0.0,top
J1,22.0,-29.05,0.0,top
R1,22.925,-26.7,180.0,top
R2,25.925,-26.7,0.0,top
SENSOR,22.0,-19.9,270.0,top
